회사명,직무,링크
Blockchain Data Scientist (경력),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45194061&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
R&D Data Scientist(데이터 사이언티스트)보충역 4급,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45351840&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
"[코스닥상장사] 엑셈 데이터 사이언티스트 (경력 3년이상, 대리~과장급)",데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45341375&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
딥러닝/3D 비전/보안/Data Scientist 병역특례(전문연구요원),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45250314&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
"데이터 사이언티스트(추천, 개인화)",데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45362224&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
Data Scientist - Signal Processing (전문연구요원 가능),데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=44638980&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
긴급) Data Scientist - 업계 최고기업 - 최우대,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45348061&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
[티빙] 데이터 엔지니어(Data Engineer) 경력채용,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45248878&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
"AI, 머신러닝 데이터분석가 등 신입 및 경력 채용",데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45270865&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
Junior Machine Learning Engineer,데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45268765&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=recently&paid_fl=n&search_uuid=33adf848-f2b4-483d-923a-290081d6f872
